Tree_Sp_Name,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Notes 
Sphenodon_punctatus,Hatteria_punctata,,,,,
Gonyosoma_prasinus,Coluber_prasinus,Elaphe_prasina,Rhadinophis_prasinus,Rhadinophis_prasina,,
Gonyosoma_margaritatus,Gonyophis_margaritatum,,,,,Gonyophis_margaritatum is current
Gonyosoma_frenatus,Gonyosoma_frenatum,,,,,Gonyosoma_frenatum is current
Coelognathus_enganensis,Coluber_enganensis,Elaphe_enganensis,,,,*
Euprepiophis_perlacea,Euprepiophis_perlaceus,Elaphe_perlacea,,,,Euprepiophis_perlaceus is current
Orthriophis_taeniurus,Elaphe_taeniurus,Elaphe_taeniura,,,,Elaphe_taeniurus is current
Orthriophis_hodgsoni,Elaphe_hodgsonii,Gonyosoma_hodgsoni,Elaphe_hodgsoni,,,Elaphe_hodgsonii is current
Orthriophis_moellendorffi,Elaphe_moellendorffi,Cynophis_moellendorffi,,,,Elaphe moellendorffi is current
Orthriophis_cantoris,Elaphe_cantoris,Coluber_cantoris,,,,Elaphe_cantoris is current
Rhinechis_scalaris,Zamenis_scalaris,Elaphe_scalaris,Coluber_scalaris,,,Zamenis_scalaris is current
Cyclophiops_semicarinatus,Ptyas_semicarinata,Eurypholis_semicarinatus,Entechinus_semicarinatus,Liopeltis_semicarinatus,,Ptyas_semicarinata is current
Cyclophiops_herminae,Ptyas_herminae,,,,,*
Cyclophiops_multicinctus,Ptyas_multicinctus,Ablabes_multicinctus,,,,Ptyas_multicinctus is current
Cyclophiops_hamptoni,Ptyas_hamptoni,,,,,*
Cyclophiops_major,Ptyas_major,Cyclophis_major,Liopeltis_major,,,Ptyas_major is current
Cyclophiops_doriae,Ptyas_doriae,,,,,*
Drymarchon_margaritae,,,,,,
Mastigodryas_moratoi,,,,,,
Mastigodryas_bifossatus,Palusophis_bifossatus,Coluber_bifossatus,,,,Palusophis_bifossatus is current
Mastigodryas_pleii,Dromicus_pleii,,,,,typo- changed e to i
Drymoluber_apurimacensis,,,,,,
Chionactis_palarostris,Sonora_palarostris,,,,,
Chionactis_occipitalis,Sonora_occipitalis,Rhinostoma_occipitale,Homalosoma_occipitale,Lamprosoma_occipitale,Contia_occipitalis,Sonora_occipitalis is current
Chilomeniscus_stramineus,Sonora_straminea,,,,,Sonora_straminea is current
Chilomeniscus_savagei,,,,,,
Tantilla_sertula,,,,,,
Tantilla_cascadae,,,,,,
Tantilla_tecta,,,,,,
Tantilla_marcovani,,,,,,
Pseustes_sexcarinatus,,,,,,
Pseustes_cinnamomeus,,,,,,
Pseustes_shropshirei,,,,,,
Pseustes_poecilonotus,Phrynonax_poecilonotus,Spilotes_poecilonotus,,,,Phrynonax_poecilonotus is current
Coluber_aurigulus,Masticophis_aurigulus,Drymobius_aurigulus,,,,Masticophis_aurigulus is current
Coluber_barbouri,Masticophis_barbouri,,,,,Masticophis_barbouri is current
Coluber_anthonyi,Masticophis_anthonyi,Bascanion_anthonyi,,,,Masticophis_anthonyi is current
Coluber_mentovarius,Masticophis_mentovarius,Bascanium_mentovarium,Coryphodon_mento-varius,,,Masticophis_mentovarius is current
Coluber_taeniatus,Masticophis_taeniatus,Leptophis_taeniata,,,,Masticophis_taeniatus is current
Coluber_lateralis,Masticophis_lateralis,Leptophis_lateralis,,,,Masticophis_lateralis is current
Coluber_fuliginosus,Atractus_fuliginosus,,,,,Atractus_fuliginosus is current
Coluber_flagellum,Masticophis_flagellum,Bascanion_flagellum,,,,Masticophis_flagellum is current
Chironius_diamantina,,,,,,
Chironius_leucometapus,,,,,,
Argyrogena_vittacaudata,Coluber_vittacaudatus,,,,,*
Gongylosoma_baliodeirus,,,,,,
Gongylosoma_scripta,,,,,,
Gongylosoma_nicobariensis,,,,,,
Gongylosoma_mukutense,,,,,,
Boiga_saengsomi,,,,,,
Boiga_tanahjampeana,,,,,,
Boiga_bourreti,,,,,,
Boiga_dightoni,,,,,,
Boiga_gokool,,,,,,
Telescopus_gezirae,,,,,,
Liopeltis_philippinus,,,,,,
Liopeltis_frenatus,Cyclophis_frenatus,,,,,
Elachistodon_westermanni,Boiga_westermanni,,,,,Boiga_westermanni is current 
Lepturophis_albofuscus,Lycodon_albofuscus,Sphecodes_albo-fuscus,,,,Lycodon_albofuscus is current
Tetralepis_fruhstorferi,,,,,,
Dasypeltis_latericia,Dasypeltis_gansi_latericia,,,,,
Dasypeltis_abyssina,Rachiodon_abyssinus,,,,,
Stegonotus_florensis,Lycodon_florensis,,,,,*
Stegonotus_borneensis,,,,,,
Lycodon_meridionale,Lycodon_meridionalis,Dinodon_rufozonatum_meridionale,,,,Lycodon_meridionalis is current 
Lycodon_tessellatus,Ophites_tesselatus,,,,,*
Lycodon_zoosvictoriae,,,,,,
Lycodon_multizonatus,Oligodon_multizonatum,Oligodon_multizonatus,,,,
Lycodon_davidi,,,,,,
Lycodon_fausti,,,,,,
Lycodon_osmanhilli,,,,,,
Lycodon_odishii,,,,,,
Dryocalamus_philippinus,Lycodon_philippinus,,,,,*
